Publisher,Journal Title,eISSN,eISSN Link,Journal Website,Open Access Options,Embargo & Sharing Policy,APC Information,Notes
American Chemical Society (ACS),ACS ES&T Toxicology,3070-863X,https://portal.issn.org/resource/ISSN/3070-863X,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS ES&T Water,2690-0637,https://portal.issn.org/resource/ISSN/2690-0637,https://pubs.acs.org/journal/aewcaa,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Food Science & Technology,2692-1944,https://portal.issn.org/resource/ISSN/2692-1944,https://pubs.acs.org/journal/afsthl,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Infectious Diseases,2373-8227,https://portal.issn.org/resource/ISSN/2373-8227,https://pubs.acs.org/journal/aidcbc,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Macro Letters,2161-1653,https://portal.issn.org/resource/ISSN/2161-1653,https://pubs.acs.org/journal/amlccd,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Materials Letters,2639-4979,https://portal.issn.org/resource/ISSN/2639-4979,https://pubs.acs.org/journal/amlcef,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Medicinal Chemistry Letters,1948-5875,https://portal.issn.org/resource/ISSN/1948-5875,https://pubs.acs.org/journal/amclct,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Nano,1936-086X,https://portal.issn.org/resource/ISSN/1936-086X,https://pubs.acs.org/journal/ancac3,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Nano Medicine,3067-5928,https://portal.issn.org/resource/ISSN/3067-5928,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Nutrition Science,3067-6037,https://portal.issn.org/resource/ISSN/3067-6037,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Pharmacology & Translational Science,2575-9108,https://portal.issn.org/resource/ISSN/2575-9108,https://pubs.acs.org/journal/aptsfn,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Photonics,2330-4022,https://portal.issn.org/resource/ISSN/2330-4022,https://pubs.acs.org/journal/apchd5,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Sensors,2379-3694,https://portal.issn.org/resource/ISSN/2379-3694,https://pubs.acs.org/journal/ascefj,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Sustainable Chemistry & Engineering,2168-0485,https://portal.issn.org/resource/ISSN/2168-0485,https://pubs.acs.org/journal/ascecg,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),ACS Sustainable Resource Management,2837-1445,https://portal.issn.org/resource/ISSN/2837-1445,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),ACS Synthetic Biology,2161-5063,https://portal.issn.org/resource/ISSN/2161-5063,https://pubs.acs.org/journal/asbcd6,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Accounts of Chemical Research,1520-4898,https://portal.issn.org/resource/ISSN/1520-4898,https://pubs.acs.org/journal/achre4,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Accounts of Materials Research,2643-6728,https://portal.issn.org/resource/ISSN/2643-6728,https://pubs.acs.org/journal/amrcda,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Analytical Chemistry,1520-6882,https://portal.issn.org/resource/ISSN/1520-6882,https://pubs.acs.org/journal/ancham,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Biochemistry,1520-4995,https://portal.issn.org/resource/ISSN/1520-4995,https://pubs.acs.org/journal/bichaw,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Bioconjugate Chemistry,1520-4812,https://portal.issn.org/resource/ISSN/1520-4812,https://pubs.acs.org/journal/bcches,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Biomacromolecules,1526-4602,https://portal.issn.org/resource/ISSN/1526-4602,https://pubs.acs.org/journal/bomaf6,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Chemical Research in Toxicology,1520-5010,https://portal.issn.org/resource/ISSN/1520-5010,https://pubs.acs.org/journal/crtoec,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Chemical Reviews,1520-6890,https://portal.issn.org/resource/ISSN/1520-6890,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),Chemistry of Materials,1520-5002,https://portal.issn.org/resource/ISSN/1520-5002,https://pubs.acs.org/journal/cmatex,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Crystal Growth & Design,1528-7505,https://portal.issn.org/resource/ISSN/1528-7505,https://pubs.acs.org/journal/cgdefu,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Energy & Fuels,1520-5029,https://portal.issn.org/resource/ISSN/1520-5029,https://pubs.acs.org/journal/enfuem,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Environmental Science & Technology,1520-5851,https://portal.issn.org/resource/ISSN/1520-5851,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),Environmental Science & Technology Letters,2328-8930,https://portal.issn.org/resource/ISSN/2328-8930,https://pubs.acs.org/journal/estlcu,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Industrial & Engineering Chemistry Research,1520-5045,https://portal.issn.org/resource/ISSN/1520-5045,https://pubs.acs.org/journal/iecred,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Inorganic Chemistry,1520-510X,https://portal.issn.org/resource/ISSN/1520-510X,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,1520-5118,https://portal.issn.org/resource/ISSN/1520-5118,https://pubs.acs.org/journal/jafcau,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of Chemical & Engineering Data,1520-5134,https://portal.issn.org/resource/ISSN/1520-5134,https://pubs.acs.org/journal/jceaax,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of Chemical Education,1938-1328,https://portal.issn.org/resource/ISSN/1938-1328,https://pubs.acs.org/journal/jceda8,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of Chemical Information and Modeling,1549-960X,https://portal.issn.org/resource/ISSN/1549-960X,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),Journal of Chemical Theory and Computation,1549-9626,https://portal.issn.org/resource/ISSN/1549-9626,https://pubs.acs.org/journal/jctcce,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,https://portal.issn.org/resource/ISSN/1520-4804,https://pubs.acs.org/journal/jmcmar,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of Natural Products,1520-6025,https://portal.issn.org/resource/ISSN/1520-6025,https://pubs.acs.org/journal/jnprdf,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of Proteome Research,1535-3907,https://portal.issn.org/resource/ISSN/1535-3907,https://pubs.acs.org/journal/jprobs,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Journal of the American Chemical Society,1520-5126,https://portal.issn.org/resource/ISSN/1520-5126,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
American Chemical Society (ACS),Journal of the American Society for Mass Spectrometry,1879-1123,https://portal.issn.org/resource/ISSN/1879-1123,https://pubs.acs.org/journal/jamsef,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Langmuir,1520-5827,https://portal.issn.org/resource/ISSN/1520-5827,https://pubs.acs.org/journal/langd5,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Macromolecules,1520-5835,https://portal.issn.org/resource/ISSN/1520-5835,https://pubs.acs.org/journal/mamobx,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Molecular Pharmaceutics,1543-8392,https://portal.issn.org/resource/ISSN/1543-8392,https://pubs.acs.org/journal/mpohbp,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Nano Letters,1530-6992,https://portal.issn.org/resource/ISSN/1530-6992,https://pubs.acs.org/journal/nalefd,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list."
American Chemical Society (ACS),Organic Letters,1523-7052,https://portal.issn.org/resource/ISSN/1523-7052,,https://acsopenscience.org/researchers/open-access/,https://acsopenscience.org/public_access/,https://acsopenscience.org/researchers/oa-pricing/,"Standard green OA embargo is 12 months for hybrid journals; a zero-embargo green OA option exists (see the sharing/public-access page). APC/pricing is via the ACS pricing estimator, not a flat per-journal list. Journal website not linked: no ACS journal code in openalex."
